concept_id,language_code,concept_international_description
138708601,sq,familja e gjuhëve të markup për shfaqjen e informacionit të shikueshëm në një shfletues interneti
2777949474,sq,komponim kimik
42625924,sl,razločitvena stran Wikimedije
2778400546,mk,хемиско соединение
2779083369,en,"astrocytoma that is characterized by cells with regular, round to oval nuclei"
2778312706,es,género de plantas
2776054734,es,compuesto químico
3019644165,he,מקצוע בתחום הבריאות
2779149496,en,fairness in the processes that resolve disputes and allocate resources
2984985831,hy,Վիքիմեդիայի նախագծի բազմիմաստության փարատման էջ
2910790537,sr,вишезначна одредница на Викимедији
2992420281,cs,zařízení pro mechanický přenos hnací síly a mechanické práce
2779485729,sq,komponim kimik
2779448150,ro,compus chimic
2779390400,eo,"maldika vitra plado, kiu portas specimenon observata en mikroskopo"
2779318131,en,"A protein complex that catalyzes the first step in long-chain fatty acid biosynthesis. For example, in E. coli the complex is heterohexameric and composed of biotin carbonyl carrier protein, biotin carboxylase and the acetate CoA-transferase complex."
2993767517,zh-my,维基媒体消歧义页
2777755289,ru,"оттиск на документе, удостоверяющий его подлинность и придающий ему юридическую силу"
2779224224,cy,tudalen wahaniaethu Wikimedia
2781009524,lb,cheemesch Verbindung
140998209,ar,صخر بركاني
2778384963,nl,menselijk eiwit
2781433595,lv,ķīmisks savienojums
2779881121,ml,രാസസം‌യുക്തം
2781407631,cs,"motorové letadlo těžší vzduchu dosahující letu díky aerodynamickým silám, s pevnými nosnými plochami"
2776327530,pl,para enancjomerów
130635790,pl,"fragment ciała niebieskiego, które uderzyło w powierzchnię innego ciała"
2780768628,he,תרכובת
2776439223,ru,"ЛОР-заболевание, представляющее собой воспалительный процесс в ухе"
2776367209,cs,chemická sloučenina
80167644,en,audio compression standard
2910363380,ro,cancer ce se dezvoltă în glandul mamar
2993972936,si,සෘජු ප්‍රජාතන්ත්‍රවාදී උපක්‍රම යනු සෘජු ප්‍රරජාතන්ත්‍රවාදය ප්‍රායෝගිකව ක්‍රියා නංවන උපක්‍රම වේ.ජනතාව සතු බලය ජනතාව විසින්ම ක්‍රියාත්මක කිරිමයි.එසේ සෘජු ප්‍රරජාතන්ත්‍රවාදය ක්‍රියාත්මක කරන උපක්‍රම (1)පුනරාවර්ථනය(2)ප්‍රාරම්භනය(3)ජනමතවිමසුම(4)ජනමතවිමසුම
95444343,pt,ramo da biologia que estuda as células
2777843234,de,chemische Verbindung
2781047020,mk,хемиско соединение
2778350275,nn,insektfamilie
2777482282,nb,kjemisk forbindelse
3020017016,ko,옻나무과에 속하는 나무
159188206,en,flow of energy per area and time
2781385186,sr,социјална тежња ка куповини добара и услуга у великој мери
2780401358,fi,kemiallinen yhdiste
2910998592,de,manuell motorische Asymmetrie
2986115478,pt,relação estatística entre duas variáveis.
2780725373,ar,مرض يصيب الإنسان
2780077968,zh,警暴
2991664886,yo,ojúewé àtojọ Wikimedia
2777134132,it,vasta classe di disturbi psicopatologici e sintomi che consistono in alterazioni o anomalie del tono dell'umore dell'individuo
2778754328,eu,konposatu kimiko
148863701,ne,सन्दर्भको प्रकार
159784718,en,adjustment of the intensities of the colors
2993337849,ar,عضو في الجسم
2781205985,nb,planteslekt
2778645564,ml,രാസസം‌യുക്തം
2777435628,ar,مركب كيميائي
2778121001,nn,kjemisk sambinding
197321550,en,"diacritic in Latin, Greek and Cyrillic scripts"
2777516300,cs,"technologie vyhledávání, modelování a prezentace předem neznámých informací, popř. znalostí a vztahů mezi daty v rozsáhlých databázích a datových skladech"
2780548424,af,chemiese verbinding
2781178838,hr,rod vodenih trajnica iz porodice trava
39197057,eo,la kvantumo de magneta flukso tra truo en superkonduktanto
2780330708,mk,хемиско соединение
42027317,hi,एक कार्रवाई की कानूनी स्वीकार्यता
2779450786,da,kemisk forbindelse
2775946558,en,synthetic crystalline material of the garnet group
2776187506,uk,сторінка значень у проекті Вікімедіа
2779743861,la,compositum chemicum
89567784,de,Disziplin im Bereich der Informatik
201292218,fr,suite définie par son premier terme et par une relation de récurrence
2779733990,mk,хемиско соединение
2909582096,es,compuesto químico
